                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2491,                0.81128,                0.86687,                  0.799,                0.74419,                0.81238,                0.45517,                 1.5721,                  1.096,                0.95359,               0.000416,               0.000416,               0.000416
                     82,                   1.29,                0.84283,                0.87914,                0.80514,                0.72069,                0.81083,                0.45008,                  1.584,                 1.0765,                0.95402,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3028,                0.81372,                0.88414,                0.77766,                0.74419,                0.81408,                0.46603,                  1.521,                 1.0461,                0.94148,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.308,                0.85567,                0.88178,                0.77365,                0.73525,                0.80106,                0.46076,                 1.5143,                 1.0833,                0.93997,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2506,                0.80171,                0.88409,                0.82503,                0.70349,                0.81067,                0.46282,                 1.5041,                 1.0653,                0.94189,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2344,                0.79025,                0.86563,                0.82757,                0.73256,                0.80356,                 0.4693,                 1.4977,                 1.0665,                0.93548,               0.000317,               0.000317,               0.000317
                     87,                 1.2349,                0.77518,                0.86848,                0.83613,                0.69767,                0.81575,                0.46752,                 1.5368,                 1.0725,                0.94042,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2582,                0.82726,                0.87059,                0.87125,                0.69186,                 0.8194,                0.46215,                 1.5418,                 1.0997,                0.94288,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2075,                0.74016,                0.86326,                0.77632,                0.74661,                 0.8051,                0.46574,                 1.5508,                 1.1803,                0.94677,              0.0002576,              0.0002576,              0.0002576
                     90,                   1.22,                0.78816,                0.86096,                0.80494,                0.74376,                0.80917,                 0.4706,                 1.5296,                  1.103,                0.93874,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2561,                0.76849,                0.89598,                0.80896,                0.69767,                0.81121,                0.46637,                 1.5348,                 1.0803,                0.94287,               0.000218,               0.000218,               0.000218
                     92,                 1.1844,                0.73224,                0.87971,                0.87464,                0.66279,                0.81256,                0.46349,                 1.5661,                 1.0882,                0.94799,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1804,                0.70706,                0.87574,                0.79236,                 0.7093,                0.80353,                0.44987,                 1.5758,                 1.1288,                0.94992,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2137,                  0.731,                0.89171,                0.77288,                0.73203,                0.80815,                0.46084,                 1.5725,                 1.1154,                0.95468,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1877,                0.79932,                0.87739,                 0.8372,                0.68605,                0.81689,                 0.4689,                  1.556,                 1.0809,                0.94583,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.167,                0.69384,                0.86621,                0.80654,                0.72093,                0.81377,                0.46805,                 1.5455,                 1.0752,                0.94439,               0.000119,               0.000119,               0.000119
                     97,                 1.1753,                0.70308,                0.86693,                0.86676,                 0.6808,                0.81177,                0.46739,                 1.5573,                 1.1153,                0.94268,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.1859,                0.67898,                0.89094,                0.83873,                 0.7093,                0.81349,                0.46385,                 1.5363,                 1.0996,                0.93993,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.1846,                0.71312,                0.87893,                0.84249,                0.71512,                0.81278,                0.47003,                 1.5409,                 1.0918,                0.94286,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.1314,                0.67699,                0.86268,                0.84801,                0.71367,                0.81078,                0.47468,                 1.5237,                 1.0941,                0.93968,               3.98e-05,               3.98e-05,               3.98e-05
